ZCOURSE (Z_PK) | ZID | ZQUESTION | ZANSWER | ZSTRENGTH

11|0|一|one|0
11|1|右|right (direction)|0
11|2|雨|rain|0
11|3|円|round, yen|0
11|4|王|king|0
11|5|音|sound|0
11|6|下|below|0
11|7|火|fire|0
11|8|花|flower|0
11|9|貝|shellfish|0
11|10|学|study|0
11|11|気|feeling|0
11|12|九|nine|0
11|13|休|rest|0
11|14|玉|ball|0
11|15|金|gold|0
11|16|空|sky|0
11|17|月|month, moon|0
11|18|犬|dog|0
11|19|見|see|0
11|20|五|five|0
11|21|口|mouth|0
11|22|校|school|0
11|23|左|left (direction)|0
11|24|三|three|0
11|25|山|mountain|0
11|26|子|child|0
11|27|四|four|0
11|28|糸|thread|0
11|29|字|letter|0
11|30|耳|ear|0
11|31|七|seven|0
11|32|車|car|0
11|33|手|hand|0
11|34|十|ten|0
11|35|出|exit|0
11|36|女|woman|0
11|37|小|small|0
11|38|上|up|0
11|39|森|forest|0
11|40|人|person|0
11|41|水|water|0
11|42|正|correct|0
11|43|生|life|0
11|44|青|blue|0
11|45|夕|evening|0
11|46|石|stone|0
11|47|赤|red|0
11|48|千|thousand|0
11|49|川|river|0
11|50|先|previous|0
11|51|早|early|0
11|52|草|grass|0
11|53|足|foot|0
11|54|村|village|0
11|55|大|large|0
11|56|男|male|0
11|57|竹|bamboo|0
11|58|中|middle|0
11|59|虫|insect|0
11|60|町|town|0
11|61|天|heaven|0
11|62|田|rice paddy|0
11|63|土|soil|0
11|64|二|two|0
11|65|日|day|0
11|66|入|enter|0
11|67|年|year|0
11|68|白|white|0
11|69|八|eight|0
11|70|百|hundred|0
11|71|文|writing|0
11|72|木|tree|0
11|73|本|book|0
11|74|名|name|0
11|75|目|eye|0
11|76|立|stand up|0
11|77|力|power|0
11|78|林|woods|0
11|79|六|six|0
6|80|引|pull|0
6|81|羽|feather|0
6|82|雲|cloud|0
6|83|園|garden|0
6|84|遠|far|0
6|85|何|what|0
6|86|科|section|0
6|87|夏|summer|0
6|88|家|house|0
6|89|歌|song|0
6|90|画|tableau|0
6|91|回|times|0
6|92|会|association|0
6|93|海|sea|0
6|94|絵|picture|0
6|95|外|outside|0
6|96|角|angle|0
6|97|楽|pleasure|0
6|98|活|active|0
6|99|間|interval|0
6|100|丸|circle|0
6|101|岩|boulder|0
6|102|顔|face|0
6|103|汽|steam|0
6|104|記|write down|0
6|105|帰|return|0
6|106|弓|bow (archery, violin)|0
6|107|牛|cow|0
6|108|魚|fish|0
6|109|京|capital|0
6|110|強|strong|0
6|111|教|teach|0
6|112|近|near|0
6|113|兄|older brother|0
6|114|形|shape|0
6|115|計|measure|0
6|116|元|origin|0
6|117|言|say|0
6|118|原|field|0
6|119|戸|door|0
6|120|古|old|0
6|121|午|noon|0
6|122|後|behind|0
6|123|語|language|0
6|124|工|craft|0
6|125|公|public|0
6|126|広|wide|0
6|127|交|mix|0
6|128|光|ray|0
6|129|考|think|0
6|130|行|go|0
6|131|高|tall, expensive|0
6|132|黄|yellow|0
6|133|合|fit|0
6|134|谷|valley|0
6|135|国|country|0
6|136|黒|black|0
6|137|今|now|0
6|138|才|genius|0
6|139|細|thin|0
6|140|作|make|0
6|141|算|calculate|0
6|142|止|stop|0
6|143|市|market|0
6|144|矢|arrow|0
6|145|姉|older sister|0
6|146|思|think|0
6|147|紙|paper|0
6|148|寺|Buddhist temple|0
6|149|自|oneself|0
6|150|時|time|0
6|151|室|room|0
6|152|社|company|0
6|153|弱|weak|0
6|154|首|neck|0
6|155|秋|autumn|0
6|156|週|week|0
6|157|春|springtime|0
6|158|書|write|0
6|159|少|few|0
6|160|場|place|0
6|161|色|color|0
6|162|食|eat, meal|0
6|163|心|heart|0
6|164|新|new|0
6|165|親|parent|0
6|166|図|diagram|0
6|167|数|number|0
6|168|西|west|0
6|169|声|voice|0
6|170|星|star|0
6|171|晴|clear up|0
6|172|切|cut|0
6|173|雪|snow|0
6|174|船|boat|0
6|175|線|line|0
6|176|前|in front|0
6|177|組|association|0
6|178|走|run|0
6|179|多|many|0
6|180|太|thick|0
6|181|体|body|0
6|182|台|pedestal|0
6|183|地|ground|0
6|184|池|pond|0
6|185|知|know|0
6|186|茶|tea|0
6|187|昼|daytime|0
6|188|長|long|0
6|189|鳥|bird|0
6|190|朝|morning|0
6|191|直|straight|0
6|192|通|pass through|0
6|193|弟|younger brother|0
6|194|店|shop|0
6|195|点|point|0
6|196|電|electricity|0
6|197|刀|sword|0
6|198|冬|winter|0
6|199|当|hit|0
6|200|東|east|0
6|201|答|answer|0
6|202|頭|head|0
6|203|同|same|0
6|204|道|road|0
6|205|読|read|0
6|206|内|inside|0
6|207|南|south|0
6|208|肉|meat|0
6|209|馬|horse|0
6|210|売|sell|0
6|211|買|buy|0
6|212|麦|wheat|0
6|213|半|half|0
6|214|番|one's turn|0
6|215|父|father|0
6|216|風|wind|0
6|217|分|part, minute of time|0
6|218|聞|hear|0
6|219|米|rice|0
6|220|歩|walk|0
6|221|母|mother|0
6|222|方|direction|0
